"Verb","Path","Handler"
"POST","/api/ai/banquet/suggest","AIController.banquetSuggest"
"POST","/api/ai/dish/recommend","AIController.dishRecommend"
"POST","/api/ai/copy/generate","AIController.copyGenerate"
"POST","/api/ai/chat","AIController.chat"
"POST","/api/approval/submit","ApprovalController.submit"
"POST","/api/approval/{flowId}/approve","ApprovalController.approve"
"POST","/api/approval/{flowId}/reject","ApprovalController.reject"
"GET","/api/approval/pending","ApprovalController.pending"
"GET","/api/approval/history","ApprovalController.history"
"GET","/api/approval/{flowId}","ApprovalController.detail"
"GET","/api/hr/attendance/record","AttendanceRecordController.loadRecord"
"POST","/api/hr/attendance/record","AttendanceRecordController.saveRecord"
"GET","/api/hr/attendance/summary","AttendanceRecordController.getSummary"
"DELETE","/api/hr/attendance/record/{id}","AttendanceRecordController.deleteRecord"
"POST","/api/auth/login","AuthController.login"
"GET","/api/auth/me","AuthController.getCurrentUser"
"POST","/api/auth/logout","AuthController.logout"
"GET","/api/stores","AuthController.getStores"
"GET","/api/bookings","BookingController.list"
"GET","/api/bookings/list","BookingController.listWithFilters"
"GET","/api/bookings/{bookingId}","BookingController.detail"
"GET","/api/bookings/search","BookingController.search"
"GET","/api/bookings/date/{date}","BookingController.byDate"
"GET","/api/bookings/range","BookingController.byDateRange"
"GET","/api/bookings/status/{status}","BookingController.byStatus"
"POST","/api/bookings","BookingController.create"
"PUT","/api/bookings/{bookingId}","BookingController.update"
"DELETE","/api/bookings/{bookingId}","BookingController.delete"
"POST","/api/bookings/copy","BookingController.copyBooking"
"POST","/api/bookings/swap","BookingController.swapBooking"
"GET","/api/bookings/{bookingId}/tables","BookingController.getTables"
"POST","/api/bookings/{bookingId}/tables","BookingController.addTable"
"DELETE","/api/bookings/{bookingId}/tables/{tableBookingId}","BookingController.deleteTable"
"GET","/api/bookings/{bookingId}/dishes","BookingController.getDishes"
"POST","/api/bookings/{bookingId}/dishes","BookingController.addDish"
"POST","/api/bookings/{bookingId}/dishes/batch","BookingController.batchAddDishes"
"DELETE","/api/bookings/{bookingId}/dishes/{dishBookingId}","BookingController.deleteDish"
"GET","/api/customers","CustomerController.getCustomers"
"GET","/api/customers/search","CustomerController.searchCustomers"
"GET","/api/customers/{id}","CustomerController.getCustomerById"
"GET","/api/customers/{id}/history","CustomerController.getCustomerHistory"
"POST","/api/customers","CustomerController.createCustomer"
"PUT","/api/customers/{id}","CustomerController.updateCustomer"
"DELETE","/api/customers/{id}","CustomerController.deleteCustomer"
"GET","/api/dashboard/today","DashboardController.getTodayDashboard"
"GET","/api/dashboard/report","DashboardController.getReport"
"GET","/api/dict/types","DictController.listTypes"
"GET","/api/dict/items/{dictCode}","DictController.listItems"
"GET","/api/dict/batch","DictController.batchItems"
"POST","/api/dict/items","DictController.addItem"
"PUT","/api/dict/items/{itemId}","DictController.updateItem"
"DELETE","/api/dict/items/{itemId}","DictController.deleteItem"
"GET","/api/dict/staff","DictController.listStaff"
"GET","/api/dict/customers","DictController.searchCustomers"
"GET","/api/dishes","DishController.getAllDishes"
"GET","/api/dishes/{dishId}","DishController.getDish"
"GET","/api/dishes/categories","DishController.getCategories"
"GET","/api/dishes/search","DishController.searchDishes"
"POST","/api/dishes","DishController.createDish"
"PUT","/api/dishes/{dishId}","DishController.updateDish"
"DELETE","/api/dishes/{dishId}","DishController.deleteDish"
"GET","/api/hr/departments","HRController.getDepartments"
"GET","/api/hr/leave","HRController.getLeaveList"
"POST","/api/hr/leave","HRController.createLeave"
"GET","/api/hr/schedule","HRController.getScheduleList"
"POST","/api/hr/schedule","HRController.createSchedule"
"GET","/api/hr/overtime","HRController.getOvertimeList"
"POST","/api/hr/overtime","HRController.createOvertime"
"GET","/api/hr/lifecycle","HRController.getLifecycle"
"GET","/api/hr/attendance","HRController.getAttendance"
"POST","/api/hr/attendance","HRController.createAttendance"
"GET","/api/menu-api/ingredients","IngredientController.getAllIngredients"
"GET","/api/menu-api/ingredients/{ingredientId}","IngredientController.getIngredient"
"GET","/api/menu-api/ingredients/low-stock","IngredientController.getLowStockIngredients"
"POST","/api/menu-api/ingredients","IngredientController.createIngredient"
"PUT","/api/menu-api/ingredients/{ingredientId}","IngredientController.updateIngredient"
"DELETE","/api/menu-api/ingredients/{ingredientId}","IngredientController.deleteIngredient"
"GET","/api/menu-api/inventory/logs","InventoryController.getInventoryLogs"
"GET","/api/menu-api/inventory/logs/{ingredientId}","InventoryController.getInventoryLogsByIngredient"
"GET","/api/menu-api/inventory/logs/range","InventoryController.getInventoryLogsByDateRange"
"POST","/api/menu-api/inventory/in","InventoryController.stockIn"
"POST","/api/menu-api/inventory/out","InventoryController.stockOut"
"GET","/api/menu-api/inventory/alerts","InventoryController.getLowStockAlerts"
"POST","/api/menu-api/inventory/loss","InventoryController.submitStockLoss"
"POST","/api/menu-api/inventory/transfer","InventoryController.transfer"
"GET","/api/ipad/dish/category","IpadDishController.getDishCategories"
"GET","/api/ipad/dish/list","IpadDishController.getDishList"
"GET","/api/ipad/dish/detail/{dish_id}","IpadDishController.getDishDetail"
"GET","/api/ipad/package/list","IpadDishController.getPackageList"
"GET","/api/ipad/template/list","IpadDishController.getTemplateList"
"GET","/api/ipad/dish/search","IpadDishController.searchDishes"
"GET","/api/ipad/order/current","IpadOrderController.getCurrentOrder"
"POST","/api/ipad/order/dish/add","IpadOrderController.addDish"
"PUT","/api/ipad/order/dish/edit","IpadOrderController.editDish"
"DELETE","/api/ipad/order/dish/remove","IpadOrderController.removeDish"
"POST","/api/ipad/order/dish/refund","IpadOrderController.refundDish"
"POST","/api/ipad/order/send-kitchen","IpadOrderController.sendToKitchen"
"POST","/api/ipad/order/urgent","IpadOrderController.urgentDish"
"GET","/api/ipad/table/list","IpadTableController.getTableList"
"GET","/api/ipad/table/all","IpadTableController.getAllTables"
"GET","/api/ipad/table/filter","IpadTableController.filterTablesByStatus"
"POST","/api/ipad/table/open","IpadTableController.openTable"
"POST","/api/ipad/table/transfer","IpadTableController.transferTable"
"GET","/api/ipad/booking/today","IpadTableController.getTodayBookings"
"GET","/api/ipad/wait/list","IpadTableController.getWaitList"
"GET","/api/kitchen/logs","KitchenController.listLogs"
"POST","/api/kitchen/logs","KitchenController.createLog"
"GET","/api/kitchen/energy","KitchenController.listEnergy"
"POST","/api/kitchen/energy","KitchenController.createEnergy"
"GET","/api/maintenance/requests","MaintenanceController.listRequests"
"POST","/api/maintenance/requests","MaintenanceController.createRequest"
"PUT","/api/maintenance/requests/{id}/dispatch","MaintenanceController.dispatch"
"PUT","/api/maintenance/requests/{id}/complete","MaintenanceController.complete"
"GET","/api/maintenance/assets","MaintenanceController.listAssets"
"POST","/api/maintenance/assets","MaintenanceController.createAsset"
"PUT","/api/maintenance/assets/{id}/check","MaintenanceController.checkAsset"
"GET","/api/marketing/activities","MarketingController.listActivities"
"POST","/api/marketing/activities","MarketingController.createActivity"
"PUT","/api/marketing/activities/{id}","MarketingController.updateActivity"
"DELETE","/api/marketing/activities/{id}","MarketingController.deleteActivity"
"GET","/api/marketing/coupons","MarketingController.listCoupons"
"POST","/api/marketing/coupons","MarketingController.createCoupon"
"GET","/api/marketing/discount-rules","MarketingController.listDiscountRules"
"GET","/api/members","MemberController.listMembers"
"GET","/api/members/{id}","MemberController.getMember"
"POST","/api/members","MemberController.createMember"
"PUT","/api/members/{id}","MemberController.updateMember"
"GET","/api/members/{id}/consume-records","MemberController.getConsumeRecords"
"GET","/api/members/{id}/points","MemberController.getPointLogs"
"POST","/api/members/{id}/recharge","MemberController.recharge"
"GET","/api/member-levels","MemberController.listMemberLevels"
"GET","/api/packages","PackageController.getAllPackages"
"GET","/api/packages/{packageId}","PackageController.getPackage"
"POST","/api/packages","PackageController.createPackage"
"PUT","/api/packages/{packageId}","PackageController.updatePackage"
"DELETE","/api/packages/{packageId}","PackageController.deletePackage"
"GET","/api/hr/payroll","PayrollController.getPayroll"
"POST","/api/hr/payroll/unlock","PayrollController.unlock"
"POST","/api/hr/payroll/lock","PayrollController.lock"
"GET","/api/menu-api/purchases","PurchaseController.getAllPurchases"
"GET","/api/menu-api/purchases/{purchaseId}","PurchaseController.getPurchase"
"GET","/api/menu-api/purchases/status/{status}","PurchaseController.getPurchasesByStatus"
"GET","/api/menu-api/purchases/range","PurchaseController.getPurchasesByDateRange"
"POST","/api/menu-api/purchases","PurchaseController.createPurchase"
"PUT","/api/menu-api/purchases/{purchaseId}","PurchaseController.updatePurchase"
"POST","/api/menu-api/purchases/{purchaseId}/approve","PurchaseController.approvePurchase"
"DELETE","/api/menu-api/purchases/{purchaseId}","PurchaseController.deletePurchase"
"GET","/api/recipes/{dishId}","RecipeController.getRecipe"
"POST","/api/recipes/{dishId}","RecipeController.saveRecipe"
"GET","/api/recipes/dishes-with-recipe","RecipeController.dishesWithRecipe"
"POST","/api/recipes/recalc-all","RecipeController.recalcAll"
"GET","/api/hr/staff","StaffController.getAllStaff"
"POST","/api/hr/staff","StaffController.createStaff"
"PUT","/api/hr/staff/{id}","StaffController.updateStaff"
"DELETE","/api/hr/staff/{id}","StaffController.deleteStaff"
"GET","/api/menu-api/suppliers","SupplierController.getAllSuppliers"
"GET","/api/menu-api/suppliers/{supplierId}","SupplierController.getSupplier"
"POST","/api/menu-api/suppliers","SupplierController.createSupplier"
"PUT","/api/menu-api/suppliers/{supplierId}","SupplierController.updateSupplier"
"DELETE","/api/menu-api/suppliers/{supplierId}","SupplierController.deleteSupplier"
"GET","/api/tables/board","TableBoardController.board"
"GET","/api/tables","TableController.getTables"
"PUT","/api/tables/{id}/status","TableController.updateStatus"
"PUT","/api/tables/reorder","TableController.reorderTables"
"POST","/api/tables","TableController.addTable"
"PUT","/api/tables/{id}","TableController.updateTable"
"DELETE","/api/tables/{id}","TableController.deleteTable"
"POST","/api/upload/image","UploadController.uploadImage"
