"Method","Url","Status","Ok","Message","Count","Note"
"Get","http://localhost:8080/api/auth/me","200","True","success","data",""
"Get","http://localhost:8080/api/stores","200","True","success","1 items",""
"Get","http://localhost:8080/api/bookings?storeId=1","200","True","success","66 items",""
"Get","http://localhost:8080/api/bookings/list?storeId=1&page=1&pageSize=10","200","True","success","10 rows",""
"Get","http://localhost:8080/api/bookings/=1","404","False","","",""
"Get","http://localhost:8080/api/bookings/search?storeId=1&keyword=test","200","True","success","1 items",""
"Get","http://localhost:8080/api/bookings/date/=1","500","False","Text '=1' could not be parsed at index 0","",""
"Get","http://localhost:8080/api/bookings/range?start=2026-07-01&end=2026-07-29&storeId=1","200","True","success","66 items",""
"Get","http://localhost:8080/api/bookings/status/confirmed?storeId=1","200","True","success","55 items",""
"Get","http://localhost:8080/api/bookings/BK1785160326159/tables?storeId=1","200","True","success","1 items",""
"Get","http://localhost:8080/api/bookings/BK1785160326159/dishes?storeId=1","200","True","success","",""
"Get","http://localhost:8080/api/customers?storeId=1","200","True","success","41 items",""
"Get","http://localhost:8080/api/customers/search?storeId=1&keyword=test","200","True","success","",""
"Get","http://localhost:8080/api/customers/2","200","True","success","data",""
"Get","http://localhost:8080/api/customers/2/history?storeId=1","200","True","success","data",""
"Get","http://localhost:8080/api/dashboard/today?storeId=1","200","True","success","data",""
"Get","http://localhost:8080/api/dashboard/report?storeId=1&startDate=2026-07-01&endDate=2026-07-29","500","False","Required request parameter 'period' for method parameter type String is not present","",""
"Get","http://localhost:8080/api/dict/types","200","True","success","",""
"Get","http://localhost:8080/api/dict/items/occasion_type","200","True","success","",""
"Get","http://localhost:8080/api/dict/batch?codes=occasion_type,booking_status","200","True","success","data",""
"Get","http://localhost:8080/api/dict/staff?storeId=1","200","True","success","20 items",""
"Get","http://localhost:8080/api/dict/customers?storeId=1&keyword=test","200","True","success","",""
"Get","http://localhost:8080/api/dishes?storeId=1","200","True","success","704 items",""
"Get","http://localhost:8080/api/dishes/=1","500","False","Required request parameter 'storeId' for method parameter type String is not present","",""
"Get","http://localhost:8080/api/dishes/categories?storeId=1","200","True","success","20 items",""
"Get","http://localhost:8080/api/dishes/search?storeId=1&keyword=test","200","True","success","5 items",""
"Get","http://localhost:8080/api/hr/departments?storeId=1","200","True","success","30 items",""
"Get","http://localhost:8080/api/hr/leave?storeId=1","200","True","success","35 items",""
"Get","http://localhost:8080/api/hr/schedule?storeId=1","200","True","success","284 items",""
"Get","http://localhost:8080/api/hr/overtime?storeId=1","200","True","success","53 items",""
"Get","http://localhost:8080/api/hr/lifecycle?storeId=1","200","True","success","11 items",""
"Get","http://localhost:8080/api/hr/attendance?storeId=1&month=2026-07","200","True","success","226 items",""
"Get","http://localhost:8080/api/hr/attendance/record?empId=1&month=2026-07","404","True","æªæ¾å°è¯¥åå·¥2026-07çèå¤è®°å½","",""
"Get","http://localhost:8080/api/hr/attendance/summary?month=2026-07","200","True","success","9 items",""
"Get","http://localhost:8080/api/menu-api/ingredients?storeId=1","200","True","success","1211 items",""
"Get","http://localhost:8080/api/menu-api/ingredients/=1","500","False","Required request parameter 'storeId' for method parameter type String is not present","",""
"Get","http://localhost:8080/api/menu-api/ingredients/low-stock?storeId=1","200","True","success","",""
"Get","http://localhost:8080/api/menu-api/inventory/logs?storeId=1","200","True","success","3 items",""
"Get","http://localhost:8080/api/menu-api/inventory/logs/=1","500","False","Required request parameter 'storeId' for method parameter type String is not present","",""
"Get","http://localhost:8080/api/menu-api/inventory/logs/range?start=2026-07-01&end=2026-07-29&storeId=1","500","False","Failed to convert value of type 'java.lang.String' to required type 'java.time.LocalDateTime'; Failed to convert from type [java.lang.String] to type [@org.springframework.web.bind.annotation.RequestParam @org.springframework.format.annotation.DateTimeFormat java.time.LocalDateTime] for value [2026-07-01]","",""
"Get","http://localhost:8080/api/menu-api/inventory/alerts?storeId=1","200","True","success","",""
"Get","http://localhost:8080/api/ipad/dish/category","200","True","success","9 items",""
"Get","http://localhost:8080/api/ipad/dish/list","200","True","success","701 items",""
"Get","http://localhost:8080/api/ipad/dish/detail/CY000001","200","True","success","data",""
"Get","http://localhost:8080/api/ipad/package/list","200","True","success","9 items",""
"Get","http://localhost:8080/api/ipad/template/list","200","True","success","5 items",""
"Get","http://localhost:8080/api/ipad/dish/search?keyword=test","200","True","success","",""
"Get","http://localhost:8080/api/ipad/order/current?tableId=","500","False","Required request parameter 'table_id' for method parameter type String is not present","",""
"Get","http://localhost:8080/api/ipad/table/list","200","True","success","70 items",""
"Get","http://localhost:8080/api/ipad/table/all","200","True","success","70 items",""
"Get","http://localhost:8080/api/ipad/table/filter?status=available","200","True","success","57 items",""
"Get","http://localhost:8080/api/ipad/booking/today","200","True","success","1 items",""
"Get","http://localhost:8080/api/ipad/wait/list","200","True","success","",""
"Get","http://localhost:8080/api/kitchen/logs?storeId=1","200","True","success","5 items",""
"Get","http://localhost:8080/api/kitchen/energy?storeId=1","200","True","success","",""
"Get","http://localhost:8080/api/maintenance/requests?storeId=1","200","True","success","",""
"Get","http://localhost:8080/api/maintenance/assets?storeId=1","200","True","success","",""
"Get","http://localhost:8080/api/marketing/activities?storeId=1","200","True","success","",""
"Get","http://localhost:8080/api/marketing/coupons?storeId=1","200","True","success","",""
"Get","http://localhost:8080/api/marketing/discount-rules?storeId=1","200","True","success","",""
"Get","http://localhost:8080/api/members?storeId=1","200","True","success","data",""
"Get","http://localhost:8080/api/members/1","404","True","ä¼åä¸å­å¨","",""
"Get","http://localhost:8080/api/members/1/consume-records","404","True","ä¼åä¸å­å¨","",""
"Get","http://localhost:8080/api/members/1/points","404","True","ä¼åä¸å­å¨","",""
"Get","http://localhost:8080/api/member-levels","200","True","success","",""
"Get","http://localhost:8080/api/packages?storeId=1","200","True","success","9 items",""
"Get","http://localhost:8080/api/packages/=1","500","False","Required request parameter 'storeId' for method parameter type String is not present","",""
"Get","http://localhost:8080/api/hr/payroll?storeId=1&month=2026-07","200","True","success","21 items",""
"Get","http://localhost:8080/api/menu-api/purchases?storeId=1","200","True","success","53 items",""
"Get","http://localhost:8080/api/menu-api/purchases/=1","500","False","Failed to convert value of type 'java.lang.String' to required type 'java.lang.Long'; For input string: ""=1""","",""
"Get","http://localhost:8080/api/menu-api/purchases/status/pending?storeId=1","200","True","success","10 items",""
"Get","http://localhost:8080/api/menu-api/purchases/range?start=2026-07-01&end=2026-07-29&storeId=1","200","True","success","53 items",""
"Get","http://localhost:8080/api/recipes/=1","200","True","success","",""
"Get","http://localhost:8080/api/recipes/dishes-with-recipe?storeId=1","200","True","success","20 items",""
"Get","http://localhost:8080/api/hr/staff?storeId=1","200","True","success","21 items",""
"Get","http://localhost:8080/api/menu-api/suppliers?storeId=1","200","True","success","4 items",""
"Get","http://localhost:8080/api/menu-api/suppliers/=1","500","False","Required request parameter 'storeId' for method parameter type String is not present","",""
"Get","http://localhost:8080/api/tables/board?storeId=1","500","False","Required request parameter 'date' for method parameter type String is not present","",""
"Get","http://localhost:8080/api/tables?storeId=1","200","True","success","70 items",""
"Get","http://localhost:8080/api/approval/pending","200","True","success","",""
"Get","http://localhost:8080/api/approval/history","200","True","success","",""
"Get","http://localhost:8080/api/approval/1","400","True","å®¡æ¹æµä¸å­å¨: 1","",""
