table_name,row_count,entity_class,repository_class,controller_class,api_routes,frontend_files,backend_status,frontend_status
admin_users,0,,,,,,UNMAPPED,NO_DIRECT_UI
ai_chat_history,14,,,AIController,"/ai/banquet/suggest,/ai/chat,/ai/chat-with-image,/ai/copy/generate,/ai/dish/recommend,/ai/history,/ai/history/clear,/ai/models","api/ai.js,api/ipad.js,components/AIChatFloat.vue",PARTIAL,MAPPED
ai_memory,0,,,,,,UNMAPPED,NO_DIRECT_UI
approval_flow,0,ApprovalFlow,ApprovalFlowRepository,"ApprovalController,GMOfficeController,HRController,InventoryController,PurchaseController","/api/approval/flows,/api/approval/history,/api/approval/pending,/api/approval/submit,/api/approval/templates,/api/approval/{flowId:[0-9]+},/api/approval/{flowId:[0-9]+}/approve,/api/approval/{flowId:[0-9]+}/reject,/api/gm/approval,/api/gm/info,/api/gm/review,/api/gm/stats,/api/gm/todo,/api/hr/attendance,/api/hr/departments,/api/hr/leave,/api/hr/leave/{id},/api/hr/leave/{id}/approve,/api/hr/lifecycle,/api/hr/overtime,/api/hr/overtime/search,/api/hr/overtime/{id},/api/hr/overtime/{id}/approve,/api/hr/schedule,/procurement/receipts,/procurement/requests","views/dashboard/AttendanceCalendar.vue,views/dashboard/GMOffice.vue,views/dashboard/HRAdmin.vue,views/dashboard/HRAnalytics.vue,views/dashboard/Overtime.vue,views/dashboard/ReviewQueue.vue,views/dashboard/SelfService.vue,views/dashboard/Staff.vue,views/dashboard/StaffProfile.vue,views/dashboard/StoreOrg.vue,views/dashboard/settings/Permission.vue",MAPPED,MAPPED
approval_log,0,,,,,,UNMAPPED,NO_DIRECT_UI
approval_node,0,ApprovalNode,ApprovalNodeRepository,,,,PARTIAL,NO_DIRECT_UI
approval_template,5,ApprovalTemplate,ApprovalTemplateRepository,,,,PARTIAL,NO_DIRECT_UI
attendance,226,Attendance,AttendanceRepository,HRController,"/api/hr/attendance,/api/hr/departments,/api/hr/leave,/api/hr/leave/{id},/api/hr/leave/{id}/approve,/api/hr/lifecycle,/api/hr/overtime,/api/hr/overtime/search,/api/hr/overtime/{id},/api/hr/overtime/{id}/approve,/api/hr/schedule","views/dashboard/AttendanceCalendar.vue,views/dashboard/HRAdmin.vue,views/dashboard/HRAnalytics.vue,views/dashboard/Overtime.vue,views/dashboard/ReviewQueue.vue,views/dashboard/SelfService.vue,views/dashboard/Staff.vue,views/dashboard/StaffProfile.vue,views/dashboard/StoreOrg.vue,views/dashboard/settings/Permission.vue",MAPPED,MAPPED
attendance_records,18,AttendanceRecord,AttendanceRecordRepository,PayrollController,,,MAPPED,NO_DIRECT_UI
audit_logs,2,AuditLog,AuditLogRepository,OperationLogController,"/api/audit-logs,/api/change-logs,/api/change-logs/{id}",views/dashboard/ChangeLogView.vue,MAPPED,MAPPED
