
TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_COMMENT	EXTRA
ai_chat_history	id	bigint	NO	PRI		auto_increment
ai_chat_history	staff_id	bigint	NO	MUL	??ID	
ai_chat_history	role	varchar(20)	NO		user/assistant	
ai_chat_history	content	text	NO		????	
ai_chat_history	image_url	varchar(500)	YES		??URL	
ai_chat_history	created_at	datetime	YES	MUL		DEFAULT_GENERATED
ai_chat_history	store_id	bigint	NO			
ai_memory	id	bigint	NO	PRI		auto_increment
ai_memory	user_id	bigint	NO	MUL	??ID	
ai_memory	content	text	NO		????	
ai_memory	created_at	datetime	YES			DEFAULT_GENERATED
ai_memory	updated_at	datetime	YES			DEFAULT_GENERATED on update CURRENT_TIMESTAMP
ai_memory	store_id	bigint	NO			
approval_log	log_id	bigint	NO	PRI		auto_increment
approval_log	store_id	bigint	NO			
approval_log	business_id	varchar(50)	NO	MUL		
approval_log	business_type	varchar(50)	NO	MUL		
approval_log	current_status	varchar(20)	NO			
approval_log	previous_status	varchar(20)	YES			
approval_log	approver_id	int	YES			
approval_log	approver_name	varchar(50)	YES			
approval_log	action	varchar(20)	NO			
approval_log	comment	text	YES			
approval_log	approval_time	datetime	YES			
approval_log	created_at	timestamp	YES			DEFAULT_GENERATED
attendance	attendance_id	int	NO	PRI		auto_increment
attendance	store_id	bigint	YES			
attendance	staff_id	int	NO	MUL		
attendance	attendance_date	date	NO	MUL		
attendance	clock_in	datetime	YES			
attendance	clock_out	datetime	YES			
attendance	status	varchar(20)	YES			
attendance	late_minutes	int	YES			
attendance	early_leave_minutes	int	YES			
attendance	absent	tinyint(1)	YES			
attendance	work_hours	double	YES			
attendance	remark	varchar(200)	YES			
attendance	created_at	datetime	YES			DEFAULT_GENERATED
attendance	clock_in_location	varchar(255)	YES		上班打卡位置	
attendance	clock_out_location	varchar(255)	YES		下班打卡位置	
attendance	clock_in_type	tinyint	YES		1-正常 2-迟到 3-缺卡	
attendance	clock_out_type	tinyint	YES		1-正常 2-早退 3-缺卡	
attendance	is_manual	tinyint	YES		0-自动 1-手动补卡	
attendance	manual_remark	varchar(255)	YES		补卡备注	
attendance	approver_id	bigint	YES		补卡审批人ID	
attendance	approve_status	tinyint	YES	MUL	1-待审 2-通过 3-驳回	
attendance	approve_time	datetime	YES		审批时间	
attendance_records	id	int	NO	PRI		auto_increment
attendance_records	record_id	varchar(50)	NO	UNI		
attendance_records	emp_id	varchar(50)	NO	MUL		
attendance_records	emp_name	varchar(50)	YES			
attendance_records	department	varchar(50)	YES			
attendance_records	month	varchar(7)	NO	MUL	YYYY-MM	
attendance_records	scope	varchar(10)	NO			
attendance_records	day_num	int	NO			
attendance_records	am_type	varchar(20)	YES			
attendance_records	pm_type	varchar(20)	YES			
attendance_records	am_note	text	YES			
attendance_records	pm_note	text	YES			
attendance_records	day_note	text	YES			
attendance_records	employment	varchar(20)	YES			
attendance_records	salary_status	varchar(20)	YES			
attendance_records	public_holiday	int	YES			
attendance_records	carry_over	int	YES			
attendance_records	summary_notes	text	YES			
attendance_records	total_present	decimal(6,1)	YES			
attendance_records	total_statutory	decimal(6,1)	YES			
attendance_records	total_holiday	decimal(6,1)	YES			
attendance_records	total_comp	decimal(6,1)	YES			
attendance_records	total_travel	decimal(6,1)	YES			
attendance_records	total_overtime	decimal(6,1)	YES			
attendance_records	total_leave	decimal(6,1)	YES			
attendance_records	total_late	decimal(6,1)	YES			
attendance_records	total_early	decimal(6,1)	YES			
attendance_records	total_absent	decimal(6,1)	YES			
attendance_records	final_balance	decimal(6,1)	YES			
attendance_records	recorded_days	int	YES			
attendance_records	created_by	varchar(50)	YES			
attendance_records	created_at	datetime	YES			DEFAULT_GENERATED
attendance_records	staff_id	int	YES		员工ID（对齐 staff_master.staff_id int）	
attendance_records	staff_name	varchar(50)	YES			
attendance_records	store_id	bigint	NO			
audit_logs	id	int	NO	PRI		auto_increment
audit_logs	user_id	varchar(64)	YES	MUL		
audit_logs	action	varchar(128)	YES			
audit_logs	target	varchar(256)	YES			
audit_logs	detail	text	YES			
audit_logs	created_at	timestamp	YES	MUL		DEFAULT_GENERATED
audit_logs	store_id	bigint	NO			
banquet_template	id	int	NO	PRI		auto_increment
banquet_template	template_name	varchar(100)	NO		????	
banquet_template	template_code	varchar(50)	NO	UNI	????	
banquet_template	template_type	varchar(20)	NO		?????banquet-??, alacarte-??, festive-??	
banquet_template	description	varchar(200)	YES		??	
banquet_template	base_price	decimal(10,2)	YES		????	
banquet_template	is_active	tinyint	YES			
banquet_template	created_at	timestamp	YES			DEFAULT_GENERATED
banquet_template	updated_at	timestamp	YES			DEFAULT_GENERATED on update CURRENT_TIMESTAMP
banquet_template	store_id	bigint	NO			
banquet_template_rel	id	int	NO	PRI		auto_increment
banquet_template_rel	banquet_type_id	int	NO	MUL	????ID	
banquet_template_rel	template_id	int	NO	MUL	??ID	
banquet_template_rel	is_default	tinyint	YES		??????	
banquet_template_rel	created_at	timestamp	YES			DEFAULT_GENERATED
banquet_template_rel	store_id	bigint	NO			
banquet_type	id	int	NO	PRI		auto_increment
banquet_type	type_name	varchar(50)	NO		??????	
banquet_type	type_code	varchar(50)	NO	UNI	????	
banquet_type	description	varchar(200)	YES		??	
banquet_type	is_active	tinyint	YES			
banquet_type	created_at	timestamp	YES			DEFAULT_GENERATED
banquet_type	updated_at	timestamp	YES			DEFAULT_GENERATED on update CURRENT_TIMESTAMP
banquet_type	store_id	bigint	NO			
booking_dish_detail	dish_booking_id	bigint	NO	PRI		auto_increment
booking_dish_detail	store_id	bigint	NO	MUL		
booking_dish_detail	table_booking_id	bigint	YES	MUL		
booking_dish_detail	booking_id	varchar(20)	YES	MUL		
booking_dish_detail	dish_id	varchar(20)	NO	MUL		
booking_dish_detail	dish_name	varchar(100)	YES			
booking_dish_detail	dish_quantity	int	YES			
booking_dish_detail	unit_price	decimal(10,2)	YES			
booking_dish_detail	subtotal	decimal(10,2)	YES			
booking_dish_detail	custom_name	varchar(100)	YES			
booking_dish_detail	dish_note	varchar(255)	YES			
booking_dish_detail	dish_order	int	YES			
booking_dish_detail	created_at	timestamp	YES			DEFAULT_GENERATED
