级别,模块,标题,期望,实际,说明,修复建议
WARNING,主键,int主键: admin_users.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `admin_users` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: attendance.attendance_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `attendance` MODIFY `attendance_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: attendance_records.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `attendance_records` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: audit_logs.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `audit_logs` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: banquet_template.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `banquet_template` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: banquet_template_rel.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `banquet_template_rel` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: banquet_type.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `banquet_type` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,varchar主键: categories.id(varchar(64)),主键应为bigint自增,varchar(varchar(64)),字符串主键：并发冲突、索引碎片化、排序效率低,ALTER TABLE `categories` ADD COLUMN id BIGINT AUTO_INCREMENT PRIMARY KEY;
WARNING,主键,varchar主键: config.config_key(varchar(128)),主键应为bigint自增,varchar(varchar(128)),字符串主键：并发冲突、索引碎片化、排序效率低,ALTER TABLE `config` ADD COLUMN id BIGINT AUTO_INCREMENT PRIMARY KEY;
WARNING,主键,int主键: customer_master.customer_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `customer_master` MODIFY `customer_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: department.dept_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `department` MODIFY `dept_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: dish_category.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `dish_category` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,varchar主键: dish_master.dish_id(varchar(20)),主键应为bigint自增,varchar(varchar(20)),字符串主键：并发冲突、索引碎片化、排序效率低,ALTER TABLE `dish_master` ADD COLUMN id BIGINT AUTO_INCREMENT PRIMARY KEY;
WARNING,主键,int主键: dish_tag.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `dish_tag` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: dish_tag_relation.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `dish_tag_relation` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: dish_usage.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `dish_usage` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: dish_usage_relation.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `dish_usage_relation` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,varchar主键: dishes.id(varchar(64)),主键应为bigint自增,varchar(varchar(64)),字符串主键：并发冲突、索引碎片化、排序效率低,ALTER TABLE `dishes` ADD COLUMN id BIGINT AUTO_INCREMENT PRIMARY KEY;
WARNING,主键,varchar主键: ingredient_master.ingredient_id(varchar(50)),主键应为bigint自增,varchar(varchar(50)),字符串主键：并发冲突、索引碎片化、排序效率低,ALTER TABLE `ingredient_master` ADD COLUMN id BIGINT AUTO_INCREMENT PRIMARY KEY;
WARNING,主键,int主键: leave_record.leave_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `leave_record` MODIFY `leave_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: marketing_member_reward.reward_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `marketing_member_reward` MODIFY `reward_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: meal_package.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `meal_package` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: member_level.level_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `member_level` MODIFY `level_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: member_point_rule.rule_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `member_point_rule` MODIFY `rule_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: menu_category.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `menu_category` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,varchar主键: orders.id(varchar(64)),主键应为bigint自增,varchar(varchar(64)),字符串主键：并发冲突、索引碎片化、排序效率低,ALTER TABLE `orders` ADD COLUMN id BIGINT AUTO_INCREMENT PRIMARY KEY;
WARNING,主键,int主键: overtime.overtime_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `overtime` MODIFY `overtime_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: package_details.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `package_details` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: package_dish_rel.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `package_dish_rel` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,varchar主键: package_master.package_id(varchar(20)),主键应为bigint自增,varchar(varchar(20)),字符串主键：并发冲突、索引碎片化、排序效率低,ALTER TABLE `package_master` ADD COLUMN id BIGINT AUTO_INCREMENT PRIMARY KEY;
WARNING,主键,varchar主键: packages.code(varchar(64)),主键应为bigint自增,varchar(varchar(64)),字符串主键：并发冲突、索引碎片化、排序效率低,ALTER TABLE `packages` ADD COLUMN id BIGINT AUTO_INCREMENT PRIMARY KEY;
WARNING,主键,int主键: pkg_used.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `pkg_used` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: post.post_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `post` MODIFY `post_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: schedule.schedule_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `schedule` MODIFY `schedule_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: staff_master.staff_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `staff_master` MODIFY `staff_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: supplier_master.supplier_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `supplier_master` MODIFY `supplier_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: table_master.table_id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `table_master` MODIFY `table_id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: template_category_rel.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `template_category_rel` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,int主键: template_dish_rel.id(int),应使用bigint(上限922亿亿),int(上限21亿),数据量大后可能耗尽,ALTER TABLE `template_dish_rel` MODIFY `id` BIGINT AUTO_INCREMENT;
WARNING,主键,varchar主键: users.id(varchar(64)),主键应为bigint自增,varchar(varchar(64)),字符串主键：并发冲突、索引碎片化、排序效率低,ALTER TABLE `users` ADD COLUMN id BIGINT AUTO_INCREMENT PRIMARY KEY;
FATAL,外键,外键类型不匹配: dish_tag_relation.store_id(bigint) → dish_master.dish_id(varchar),FK类型应与PK一致: varchar,FK=bigint PK=varchar,JOIN全表扫描或类型转换失败,ALTER TABLE `dish_tag_relation` MODIFY `store_id` varchar(20);
